geoid,NAME,median,state,county
36095,"Schoharie County, New York",31008,36,095
36067,"Onondaga County, New York",35990,36,067
36019,"Clinton County, New York",30710,36,019
36099,"Seneca County, New York",30114,36,099
36079,"Putnam County, New York",45843,36,079
36033,"Franklin County, New York",31611,36,033
36069,"Ontario County, New York",34960,36,069
36081,"Queens County, New York",36381,36,081
36101,"Steuben County, New York",31079,36,101
36041,"Hamilton County, New York",30789,36,041
36115,"Washington County, New York",31095,36,115
36013,"Chautauqua County, New York",27417,36,013
36047,"Kings County, New York",37123,36,047
36061,"New York County, New York",59620,36,061
36107,"Tioga County, New York",33942,36,107
36011,"Cayuga County, New York",33045,36,011
36073,"Orleans County, New York",31049,36,073
36091,"Saratoga County, New York",43269,36,091
36087,"Rockland County, New York",40742,36,087
36021,"Columbia County, New York",34979,36,021
36049,"Lewis County, New York",32045,36,049
36063,"Niagara County, New York",33693,36,063
36119,"Westchester County, New York",46500,36,119
36025,"Delaware County, New York",26270,36,025
36031,"Essex County, New York",29965,36,031
36057,"Montgomery County, New York",30591,36,057
36059,"Nassau County, New York",49803,36,059
36085,"Richmond County, New York",46586,36,085
36097,"Schuyler County, New York",29225,36,097
36109,"Tompkins County, New York",27387,36,109
36017,"Chenango County, New York",30363,36,017
36023,"Cortland County, New York",28153,36,023
36045,"Jefferson County, New York",29342,36,045
36065,"Oneida County, New York",31786,36,065
36103,"Suffolk County, New York",43307,36,103
36121,"Wyoming County, New York",33838,36,121
36015,"Chemung County, New York",31748,36,015
36075,"Oswego County, New York",29247,36,075
36077,"Otsego County, New York",25513,36,077
36117,"Wayne County, New York",31839,36,117
36001,"Albany County, New York",36620,36,001
36007,"Broome County, New York",28269,36,007
36029,"Erie County, New York",35002,36,029
36053,"Madison County, New York",32324,36,053
36105,"Sullivan County, New York",31855,36,105
36037,"Genesee County, New York",31972,36,037
36071,"Orange County, New York",38442,36,071
36005,"Bronx County, New York",27074,36,005
36035,"Fulton County, New York",31238,36,035
36083,"Rensselaer County, New York",38619,36,083
36027,"Dutchess County, New York",37616,36,027
36043,"Herkimer County, New York",30666,36,043
36089,"St. Lawrence County, New York",26975,36,089
36113,"Warren County, New York",32189,36,113
36055,"Monroe County, New York",33207,36,055
36111,"Ulster County, New York",32829,36,111
36051,"Livingston County, New York",30739,36,051
36039,"Greene County, New York",32135,36,039
36003,"Allegany County, New York",23628,36,003
36009,"Cattaraugus County, New York",29892,36,009
36093,"Schenectady County, New York",32580,36,093
36123,"Yates County, New York",27575,36,123
